Participant,Race,Sex,Age,State,Community,Highest Edu Completed,Current Student Status,Major,Employment,Marital Status,Housing,Annual Income
100005,White,Female,53,Iowa,Rural,Four year college or university degree/Bachelor's degree,No,Business/management/finance/marketing/accounting/human resources,Part-time,Married,Own,$75K to under $100K
100062,White,Male,50,South Carolina,Suburban,Some college-no degree (includes some community college),No,,Part-time,Never been married,Own,$30K to under $40K
100116,White,Female,53,Minnesota,Suburban,Two year associate degree from a college or university,No,Vocational/technical,Part-time,Never been married,Own,$10K to under $20K
100125,White,Male,80,Iowa,Rural,High school graduate (Grade 12 with diploma or GED certificate),,,Retired,Widowed,Rent,Don't know/Refused
100131,White,Female,80,New Jersey,Suburban,Some college-no degree (includes some community college),,,Retired,Divorced,Own,$30K to under $40K
100132,White,Female,77,Pennsylvania,Suburban,High school graduate (Grade 12 with diploma or GED certificate),,,Retired,Widowed,Own,$10K to under $20K
100135,White,Female,86,Pennsylvania,Suburban,High school graduate (Grade 12 with diploma or GED certificate),,,Not employed,Widowed,Rent,Don't know/Refused
100148,White,Male,66,California,Suburban,Four year college or university degree/Bachelor's degree,,Art-visual art/theater/dance/art history,Not employed,Never been married,Rent,$10K to under $20K
100159,White,Male,73,California,Urban,High school graduate (Grade 12 with diploma or GED certificate),,,Retired,Widowed,Own,$20K to under $30K
100162,White,Female,86,Oregon,Rural,High school graduate (Grade 12 with diploma or GED certificate),,,Not employed,Widowed,Own,$20K to under $30K
100177,Refused,Female,Don't know/Refused,Arizona,Urban,Postgraduate or professional degree,,Psychology/behavorial science,Retired,Widowed,Own,Don't know/Refused
100280,White,Male,49,Alabama,Suburban,High school graduate (Grade 12 with diploma or GED certificate),No,,Retired,Widowed,Own,$20K to under $30K
100282,White,Male,57,Pennsylvania,Suburban,Two year associate degree from a college or university,No,Engineering/drafting,Full-time,Married,Own,$100K to under $150
100317,White,Female,79,Alabama,Urban,High school graduate (Grade 12 with diploma or GED certificate),,,Retired,Widowed,Own,Don't know/Refused
100323,White,Female,82,Texas,Suburban,High school graduate (Grade 12 with diploma or GED certificate),,,Retired,Widowed,Own,$30K to under $40K
100348,White,Female,81,Indiana,Urban,High school graduate (Grade 12 with diploma or GED certificate),,,Retired,Widowed,Own,$40K to under $50K
100353,White,Female,72,Pennsylvania,Suburban,Four year college or university degree/Bachelor's degree,,Life sciences/Health sciences,Retired,Widowed,Own,$10K to under $20K
100366,Black or African-American,Female,83,Tennessee,Suburban,High school graduate (Grade 12 with diploma or GED certificate),,,Not employed,Never been married,Other arrangement,$10K to under $20K
100382,White,Female,66,Pennsylvania,Suburban,Four year college or university degree/Bachelor's degree,,English/literature,Part-time,Divorced,Own,Less than $10K
100387,White,Female,65,Virginia,Suburban,Postgraduate or professional degree,,Business/management/finance/marketing/accounting/human resources,Not employed,Widowed,Own,$100K to under $150
100399,White,Female,78,Alaska,Urban,Some college-no degree (includes some community college),,,Retired,Widowed,Own,$50K to under $75K
100400,White,Female,82,Wisconsin,Suburban,Two year associate degree from a college or university,,Other,Not employed,Widowed,Own,$40K to under $50K
100444,White,Female,80,North Carolina,Rural,Four year college or university degree/Bachelor's degree,,,Retired,Widowed,Own,Don't know/Refused
100450,White,Female,87,Minnesota,Urban,High school graduate (Grade 12 with diploma or GED certificate),,,Retired,Widowed,Rent,$30K to under $40K
100462,White,Male,23,Illinois,Urban,Four year college or university degree/Bachelor's degree,No,Business/management/finance/marketing/accounting/human resources,Part-time,Never been married,Rent,$20K to under $30K
100464,White,Female,78,Utah,Suburban,Some college-no degree (includes some community college),,,Retired,Widowed,Rent,$10K to under $20K
100481,White,Female,71,Indiana,Suburban,High school graduate (Grade 12 with diploma or GED certificate),,,Retired,Widowed,Own,Don't know/Refused
100511,White,Male,57,South Dakota,Rural,Four year college or university degree/Bachelor's degree,No,Music,Full-time,Never been married,Own,$20K to under $30K
100544,White,Female,43,Wisconsin,Rural,Two year associate degree from a college or university,No,Business/management/finance/marketing/accounting/human resources,Full-time,Divorced,Own,$30K to under $40K
100547,White,Male,42,Colorado,Suburban,Four year college or university degree/Bachelor's degree,No,Architecture,Full-time,Never been married,Own,$75K to under $100K
100551,Black or African-American,Female,87,California,Suburban,Some college-no degree (includes some community college),,,Not employed,Divorced,Rent,Less than $10K
100574,White,Male,89,Michigan,Urban,Four year college or university degree/Bachelor's degree,,Engineering/drafting,Retired,Married,Other arrangement,Don't know/Refused
100598,White,Male,66,Pennsylvania,Suburban,High school graduate (Grade 12 with diploma or GED certificate),,,Retired,Widowed,Own,$40K to under $50K
100622,White,Male,63,Ohio,Rural,Some college-no degree (includes some community college),No,,Full-time,Widowed,Own,$50K to under $75K
100630,Black or African-American,Female,80,Nebraska,Urban,Two year associate degree from a college or university,,English/literature,Retired,Widowed,Own,$75K to under $100K
100634,White,Female,42,Florida,Suburban,High school graduate (Grade 12 with diploma or GED certificate),No,,Part-time,Separated,Own,$10K to under $20K
100638,White,Female,23,New Mexico,Urban,High school graduate (Grade 12 with diploma or GED certificate),Yes,Life sciences/Health sciences,Full-time,Never been married,Rent,Don't know/Refused
100644,White,Male,66,California,Rural,Some college-no degree (includes some community college),,,Retired,Divorced,Own,$40K to under $50K
100645,Native American/American Indian/Alaska Native,Male,47,Vermont,Suburban,Two year associate degree from a college or university,No,Computer and information sciences,Full-time,Married,Own,Don't know/Refused
100653,White,Female,64,Arizona,Suburban,Four year college or university degree/Bachelor's degree,No,Liberal arts/humanities/general studies,Retired,Widowed,Own,$50K to under $75K
100662,White,Female,65,California,Suburban,Some postgraduate or professional schooling-no postgraduate degree,,Social sciences,Retired,Never been married,Own,$50K to under $75K
100681,White,Male,92,Vermont,Rural,High school graduate (Grade 12 with diploma or GED certificate),,,Retired,Never been married,Other arrangement,$20K to under $30K
100688,Black or African-American,Female,57,Georgia,Urban,Four year college or university degree/Bachelor's degree,No,Police and protective services/Criminal justice,Retired,Married,Own,$100K to under $150
100705,Black or African-American,Male,46,Georgia,Urban,Some college-no degree (includes some community college),No,,Full-time,Never been married,Own,$150K or more
100709,White,Female,94,Missouri,Suburban,Some college-no degree (includes some community college),,,Retired,Widowed,Rent,$10K to under $20K
100716,White,Female,92,Missouri,Rural,High school graduate (Grade 12 with diploma or GED certificate),,,Retired,Widowed,Own,Don't know/Refused
100727,Black or African-American,Male,64,Virginia,Rural,Four year college or university degree/Bachelor's degree,No,Life sciences/Health sciences,Retired,Divorced,Own,$20K to under $30K
100734,Black or African-American,Male,93,Colorado,Urban,Four year college or university degree/Bachelor's degree,,Music,Retired,Married,Own,$30K to under $40K
100740,White,Female,70,Pennsylvania,Rural,High school graduate (Grade 12 with diploma or GED certificate),,,Not employed,Widowed,Own,$10K to under $20K
100746,White,Male,56,Maryland,Suburban,Four year college or university degree/Bachelor's degree,No,Engineering/drafting,Full-time,Never been married,Own,$150K or more
100761,White,Female,69,California,Suburban,Postgraduate or professional degree,,Education,Not employed,Divorced,Own,$40K to under $50K
100785,White,Female,87,Connecticut,Suburban,Some college-no degree (includes some community college),,,Retired,Widowed,Don't know/Refused (VOL.),Don't know/Refused
