ID,AGEP,SCHL,OCCP,SEX,RAC1P,PINCP
0,50.0,13.0,4251.0,1.0,1.0,5000.0
1,20.0,13.0,4020.0,2.0,1.0,24000.0
2,18.0,16.0,4110.0,2.0,1.0,2400.0
3,30.0,17.0,4020.0,1.0,1.0,1000.0
4,34.0,17.0,310.0,1.0,1.0,6000.0
5,18.0,18.0,335.0,1.0,8.0,6200.0
6,20.0,14.0,9640.0,2.0,6.0,2000.0
7,19.0,19.0,7640.0,1.0,6.0,18700.0
8,56.0,16.0,9620.0,1.0,1.0,22900.0
9,46.0,19.0,8600.0,1.0,6.0,50000.0
10,18.0,18.0,725.0,2.0,1.0,5500.0
11,18.0,16.0,4622.0,1.0,1.0,940.0
12,18.0,16.0,7840.0,2.0,1.0,5000.0
13,19.0,16.0,4760.0,2.0,6.0,1000.0
14,18.0,18.0,4055.0,2.0,2.0,2000.0
15,35.0,19.0,310.0,2.0,1.0,20300.0
16,20.0,19.0,9620.0,2.0,1.0,10500.0
17,18.0,18.0,9640.0,2.0,1.0,1200.0
18,59.0,19.0,3602.0,2.0,1.0,150000.0
19,19.0,16.0,4720.0,2.0,1.0,13000.0
20,21.0,19.0,1970.0,2.0,6.0,2500.0
21,18.0,20.0,2435.0,2.0,1.0,860.0
22,18.0,18.0,4010.0,2.0,1.0,12000.0
23,21.0,19.0,4640.0,1.0,9.0,7700.0
24,38.0,22.0,2040.0,1.0,6.0,24000.0
25,20.0,16.0,3870.0,1.0,2.0,17600.0
26,22.0,19.0,9350.0,1.0,1.0,600.0
27,18.0,16.0,4700.0,2.0,1.0,8600.0
28,19.0,16.0,4055.0,2.0,9.0,360.0
29,34.0,17.0,2180.0,1.0,9.0,20000.0
30,20.0,19.0,310.0,1.0,1.0,12000.0
31,26.0,19.0,8225.0,1.0,1.0,10000.0
32,22.0,16.0,9620.0,1.0,5.0,6700.0
33,31.0,17.0,4220.0,1.0,1.0,620.0
34,19.0,20.0,420.0,1.0,1.0,7000.0
35,22.0,17.0,8450.0,1.0,5.0,2700.0
36,19.0,19.0,4840.0,2.0,1.0,30000.0
37,19.0,20.0,4055.0,1.0,1.0,5700.0
38,33.0,19.0,4220.0,1.0,1.0,3300.0
39,18.0,18.0,2360.0,2.0,8.0,6000.0
40,28.0,16.0,6220.0,1.0,8.0,35000.0
41,59.0,19.0,3602.0,2.0,1.0,150000.0
42,23.0,19.0,9810.0,1.0,1.0,30700.0
43,30.0,17.0,6230.0,1.0,1.0,25000.0
44,18.0,18.0,4010.0,2.0,1.0,12000.0
45,78.0,19.0,410.0,1.0,1.0,378000.0
46,28.0,18.0,1970.0,2.0,1.0,6000.0
47,19.0,20.0,4055.0,1.0,1.0,5700.0
48,20.0,18.0,440.0,2.0,6.0,200.0
49,19.0,18.0,6260.0,1.0,1.0,8500.0
50,39.0,17.0,4020.0,1.0,2.0,5000.0
51,46.0,11.0,4251.0,1.0,9.0,4000.0
52,18.0,18.0,4010.0,2.0,1.0,7200.0
53,38.0,14.0,6410.0,1.0,1.0,35000.0
54,55.0,19.0,2350.0,1.0,5.0,163000.0
55,24.0,19.0,9141.0,1.0,1.0,23000.0
56,22.0,20.0,9130.0,1.0,1.0,17060.0
57,57.0,16.0,9620.0,1.0,8.0,1600.0
58,19.0,19.0,2360.0,2.0,1.0,3000.0
59,20.0,16.0,9645.0,2.0,6.0,20000.0
60,20.0,19.0,3960.0,1.0,1.0,7500.0
61,46.0,19.0,8600.0,1.0,6.0,50000.0
62,19.0,16.0,4055.0,2.0,9.0,5700.0
63,19.0,18.0,4251.0,1.0,1.0,4500.0
64,18.0,19.0,4622.0,2.0,1.0,5000.0
65,25.0,19.0,3870.0,1.0,2.0,28000.0
66,20.0,20.0,7040.0,1.0,1.0,25300.0
67,20.0,19.0,9640.0,1.0,1.0,8500.0
68,20.0,19.0,3740.0,1.0,1.0,5500.0
69,20.0,19.0,4130.0,1.0,1.0,9000.0
70,26.0,18.0,9810.0,1.0,1.0,27600.0
71,35.0,17.0,4720.0,2.0,2.0,11600.0
72,24.0,20.0,9830.0,1.0,1.0,27600.0
73,48.0,17.0,9610.0,1.0,1.0,14000.0
74,20.0,19.0,4230.0,1.0,8.0,4000.0
75,20.0,18.0,4110.0,2.0,9.0,9150.0
76,19.0,19.0,2002.0,2.0,1.0,7500.0
77,19.0,19.0,2360.0,2.0,1.0,6000.0
78,26.0,16.0,4220.0,2.0,1.0,17500.0
79,21.0,19.0,2350.0,2.0,1.0,760.0
80,18.0,20.0,9645.0,2.0,1.0,41200.0
81,23.0,18.0,7340.0,1.0,1.0,27600.0
82,18.0,16.0,4720.0,2.0,2.0,1500.0
83,20.0,16.0,9645.0,2.0,6.0,20000.0
84,18.0,18.0,4435.0,2.0,1.0,6700.0
85,30.0,17.0,4020.0,1.0,1.0,1000.0
86,19.0,18.0,4010.0,2.0,1.0,7200.0
87,28.0,18.0,1021.0,2.0,1.0,43000.0
88,27.0,16.0,8990.0,2.0,1.0,5000.0
89,44.0,14.0,4020.0,2.0,1.0,530.0
90,18.0,18.0,335.0,1.0,8.0,6200.0
91,37.0,22.0,2040.0,1.0,1.0,27800.0
92,34.0,9.0,7810.0,1.0,2.0,12000.0
93,20.0,16.0,7340.0,1.0,1.0,19200.0
94,62.0,17.0,6410.0,1.0,1.0,800.0
95,18.0,16.0,4622.0,2.0,1.0,4100.0
96,21.0,19.0,5860.0,1.0,1.0,5700.0
97,18.0,16.0,2770.0,1.0,1.0,400.0
98,50.0,16.0,4220.0,1.0,1.0,450.0
99,19.0,19.0,4130.0,1.0,1.0,11000.0
100,29.0,18.0,4030.0,1.0,1.0,600.0
101,18.0,19.0,4055.0,2.0,9.0,20000.0
102,20.0,19.0,1010.0,1.0,6.0,410.0
103,57.0,19.0,4251.0,1.0,6.0,17000.0
104,18.0,19.0,4600.0,2.0,1.0,3000.0
105,24.0,19.0,9141.0,1.0,1.0,23000.0
106,18.0,19.0,4600.0,2.0,1.0,1800.0
107,18.0,16.0,5400.0,2.0,1.0,5000.0
108,20.0,19.0,9645.0,2.0,1.0,3600.0
109,20.0,19.0,4110.0,2.0,9.0,1100.0
110,19.0,19.0,5810.0,2.0,6.0,29000.0
111,39.0,19.0,4220.0,2.0,1.0,660.0
112,19.0,18.0,4010.0,1.0,1.0,8000.0
113,22.0,16.0,9830.0,1.0,1.0,41000.0
114,58.0,22.0,2040.0,1.0,8.0,18000.0
115,19.0,19.0,4760.0,2.0,1.0,3400.0
116,59.0,19.0,3602.0,2.0,1.0,150000.0
117,20.0,19.0,1031.0,1.0,1.0,36000.0
118,38.0,18.0,4030.0,2.0,1.0,5700.0
119,58.0,22.0,2040.0,1.0,8.0,18000.0
120,19.0,16.0,6260.0,1.0,9.0,800.0
121,22.0,16.0,9830.0,1.0,1.0,41000.0
122,29.0,19.0,4220.0,1.0,1.0,9200.0
123,57.0,19.0,4251.0,1.0,6.0,17000.0
124,32.0,15.0,7750.0,1.0,6.0,24000.0
125,40.0,18.0,7855.0,1.0,1.0,8700.0
126,53.0,11.0,6120.0,1.0,9.0,31200.0
127,19.0,20.0,4760.0,2.0,1.0,7400.0
128,21.0,18.0,1555.0,1.0,1.0,29000.0
129,32.0,15.0,6260.0,2.0,1.0,24000.0
130,35.0,18.0,735.0,2.0,1.0,13000.0
131,63.0,22.0,2040.0,1.0,6.0,24000.0
132,22.0,21.0,3602.0,1.0,1.0,19000.0
133,22.0,18.0,4020.0,1.0,6.0,17000.0
134,19.0,16.0,6260.0,1.0,9.0,800.0
135,41.0,17.0,4220.0,1.0,2.0,190.0
136,63.0,16.0,5120.0,2.0,1.0,17400.0
137,36.0,18.0,9810.0,1.0,1.0,48900.0
138,61.0,17.0,4130.0,2.0,9.0,24300.0
139,22.0,18.0,9830.0,1.0,1.0,28000.0
140,58.0,22.0,2040.0,1.0,8.0,18000.0
141,22.0,19.0,4720.0,2.0,2.0,2300.0
142,27.0,16.0,5740.0,2.0,6.0,26000.0
143,42.0,19.0,2025.0,2.0,2.0,37100.0
144,18.0,16.0,7840.0,2.0,1.0,5000.0
145,53.0,19.0,6050.0,2.0,1.0,9600.0
146,19.0,18.0,9620.0,1.0,1.0,7000.0
147,20.0,16.0,4020.0,2.0,2.0,2300.0
148,37.0,17.0,4220.0,1.0,3.0,600.0
149,20.0,18.0,9830.0,1.0,1.0,40000.0
150,20.0,16.0,9300.0,1.0,1.0,24000.0
151,21.0,18.0,1555.0,1.0,1.0,29000.0
152,38.0,22.0,2040.0,1.0,6.0,24000.0
153,22.0,19.0,4220.0,1.0,1.0,14000.0
154,50.0,16.0,6520.0,1.0,2.0,31600.0
155,34.0,17.0,310.0,1.0,1.0,6000.0
156,34.0,18.0,4220.0,1.0,2.0,24000.0
157,18.0,18.0,4220.0,1.0,6.0,3000.0
158,53.0,19.0,6050.0,2.0,1.0,9600.0
159,18.0,16.0,4110.0,2.0,1.0,2400.0
160,22.0,20.0,9825.0,1.0,1.0,25380.0
161,34.0,12.0,6230.0,1.0,1.0,25000.0
162,18.0,16.0,4600.0,2.0,6.0,5600.0
163,19.0,19.0,2002.0,2.0,1.0,7500.0
164,27.0,17.0,7750.0,1.0,2.0,5000.0
165,20.0,20.0,4760.0,2.0,1.0,4100.0
166,61.0,19.0,2350.0,1.0,2.0,18500.0
167,51.0,17.0,9130.0,1.0,2.0,15100.0
168,22.0,20.0,9830.0,1.0,1.0,28000.0
169,48.0,14.0,4251.0,1.0,2.0,4800.0
170,36.0,18.0,4030.0,2.0,1.0,6000.0
171,18.0,18.0,4110.0,1.0,1.0,1200.0
172,20.0,20.0,4110.0,2.0,1.0,16800.0
173,21.0,18.0,9365.0,1.0,1.0,22000.0
174,34.0,17.0,310.0,1.0,1.0,6000.0
175,18.0,18.0,4150.0,1.0,1.0,1100.0
176,22.0,20.0,9830.0,1.0,1.0,41000.0
177,18.0,16.0,2350.0,2.0,6.0,800.0
178,19.0,16.0,4740.0,1.0,9.0,1000.0
179,18.0,16.0,4030.0,2.0,1.0,9200.0
180,22.0,16.0,7340.0,1.0,1.0,25200.0
181,24.0,20.0,9830.0,1.0,1.0,20000.0
182,18.0,18.0,9640.0,2.0,1.0,1200.0
183,25.0,16.0,9825.0,2.0,2.0,25000.0
184,18.0,16.0,5400.0,2.0,1.0,500.0
185,34.0,19.0,4010.0,1.0,1.0,12000.0
186,42.0,19.0,3740.0,1.0,1.0,14100.0
187,20.0,19.0,4110.0,2.0,1.0,9600.0
188,22.0,18.0,5240.0,1.0,1.0,5500.0
189,65.0,16.0,3930.0,1.0,9.0,17000.0
190,18.0,18.0,3401.0,2.0,1.0,35000.0
191,19.0,19.0,6260.0,1.0,1.0,32000.0
192,21.0,16.0,9825.0,1.0,1.0,25300.0
193,19.0,16.0,4720.0,2.0,6.0,3000.0
